park_name,total_area_ha,priority_area_ha,constraints_area_ha,priority_pct,constraints_pct
NEW FOREST,56652.47717610442,35418.520410984966,736.188568103692,62.51892622609665,1.299481690474447
EXMOOR,69312.178715522,26237.251741390413,846.4738938827771,37.85373974330828,1.2212484293084485
DARTMOOR,95574.74614290566,50086.287678108725,881.2994274792266,52.40535779526792,0.9221049106021024
PEAK DISTRICT,143783.1812769057,65516.59976448042,3241.445807422084,45.566247166492225,2.254398448160307
NORTH YORK MOORS,144106.1643314494,57857.074115139876,986.2184152039448,40.14892380458237,0.6843693465711895
LAKE DISTRICT,236239.55073649288,125359.16739359271,6991.046467987451,53.06442845949248,2.9593039972317876
THE BROADS,30188.321872375418,19830.77609259796,1015.4897249214932,65.69022344612209,3.363849534977771
SOUTH DOWNS,165267.93142768086,47981.94946974326,3931.258555877141,29.0328250951332,2.3787183163222503
NORTHUMBERLAND,105093.4416021332,74068.13275097206,269.8497419361466,70.47835870803627,0.256771248350353
YORKSHIRE DALES,218482.66746459345,112093.26033163056,4011.970008200287,51.30533311059835,1.8362875438851245
